Filename Audio,Similarita Coseno
000002.mp3,0.34606093
000005.mp3,0.29463813
000010.mp3,0.23343185
000140.mp3,0.27374077
000141.mp3,0.32288706
000148.mp3,0.023029005
000182.mp3,0.20047893
000190.mp3,0.35691404
000193.mp3,0.3757123
000194.mp3,0.07606063
000197.mp3,0.31634828
000200.mp3,0.24760666
000203.mp3,0.47552633
000204.mp3,0.35650563
000207.mp3,0.2766909
000210.mp3,0.2293389
000211.mp3,0.11683363
000212.mp3,0.2723351
000213.mp3,0.28116548
000255.mp3,0.12084572
000256.mp3,0.1476853
000368.mp3,0.2626706
000424.mp3,0.28803274
000459.mp3,0.36300504
000534.mp3,0.3036547
000540.mp3,0.2811397
000546.mp3,0.33351007
000574.mp3,0.2488114
000602.mp3,0.42778987
000615.mp3,0.31333497
000620.mp3,0.46839747
000621.mp3,0.30157223
000625.mp3,0.46145645
000666.mp3,0.35356534
000667.mp3,0.23523344
000676.mp3,0.35220507
000690.mp3,0.2554322
000694.mp3,0.27018005
000695.mp3,0.095923394
000704.mp3,0.16010359
000705.mp3,0.3371399
000706.mp3,0.26553434
000707.mp3,0.39018917
000708.mp3,0.26546776
000709.mp3,0.2595688
000714.mp3,0.3393038
000715.mp3,0.26496193
000716.mp3,0.25400484
000718.mp3,0.20254293
000777.mp3,0.037176453
000814.mp3,0.31157273
000821.mp3,0.35545594
000822.mp3,0.26295403
000825.mp3,0.34703198
000853.mp3,0.31134683
000890.mp3,0.3477142
000892.mp3,0.34291762
000897.mp3,0.078396656
000993.mp3,0.14086694
000995.mp3,0.078267574
000997.mp3,0.35699943
000998.mp3,-0.044833697
005006.mp3,0.3415762
005156.mp3,0.45639324
005157.mp3,0.353821
005158.mp3,0.15350056
005159.mp3,0.47227377
005169.mp3,0.39322302
005170.mp3,0.48341402
005171.mp3,0.44322252
005191.mp3,0.24167402
005264.mp3,0.23847622
005268.mp3,0.30713606
005376.mp3,0.3688586
005381.mp3,0.40181285
005521.mp3,0.2581352
005879.mp3,0.13551086
005936.mp3,0.28598323
005940.mp3,0.30363467
025028.mp3,0.2396982
025029.mp3,0.17443803
025030.mp3,0.014161755
025031.mp3,0.278974
025032.mp3,0.23961008
025033.mp3,0.3340791
025055.mp3,0.28597912
025063.mp3,0.20879067
025066.mp3,0.46330008
025104.mp3,0.13063486
025124.mp3,0.31375355
025215.mp3,0.1844272
025216.mp3,0.12138659
025227.mp3,0.3757743
025232.mp3,0.4591778
025233.mp3,0.37545142
025234.mp3,0.032592315
025235.mp3,0.41872513
025324.mp3,0.35542545
025378.mp3,0.3175993
025601.mp3,0.30735123
